Run,Bases,population,Super_Population_Code,HapMap_sample_ID,BAM
ERR244195,294709600,LWK,AFR,NA19437,
ERR240360,294966400,JPT,EAS,NA18949,
ERR243299,295063800,CEU,EUR,NA07056,
ERR240330,295125000,JPT,EAS,NA18949,
ERR244192,295203600,LWK,AFR,NA19437,
ERR239745,295383600,LWK,AFR,NA19437,
ERR244186,295503000,LWK,AFR,NA19437,
ERR239835,295592000,JPT,EAS,NA18949,
ERR243864,295698200,CEU,EUR,NA12043,
ERR244183,295775800,LWK,AFR,NA19437,
ERR239880,295979400,JPT,EAS,NA18949,
ERR239850,296196400,JPT,EAS,NA18949,
ERR239710,296427800,LWK,AFR,NA19439,
ERR244189,296473000,LWK,AFR,NA19437,
ERR242238,296553200,TSI,EUR,NA20544,
ERR240076,296820600,JPT,EAS,NA18951,
ERR243698,297393400,CEU,EUR,NA07056,
ERR242260,297399800,TSI,EUR,NA20528,
ERR244180,297507000,LWK,AFR,NA19437,
ERR239865,297522400,JPT,EAS,NA18949,
ERR241957,297588800,TSI,EUR,NA20539,
ERR239748,297960000,LWK,AFR,NA19437,
ERR244177,298024000,LWK,AFR,NA19437,
ERR240447,298223000,CHB,EAS,NA18614,
ERR242037,298255400,TSI,EUR,NA20539,
ERR244174,298286600,LWK,AFR,NA19437,
ERR243719,298597200,CEU,EUR,NA07056,
ERR241917,298661000,TSI,EUR,NA20539,
ERR242792,298764800,TSI,EUR,NA20533,
ERR239751,298769000,LWK,AFR,NA19437,
ERR240067,298975800,JPT,EAS,NA18942,
ERR243543,299240000,CEU,EUR,NA12144,
ERR239763,299287800,LWK,AFR,NA19437,
ERR244198,299342200,LWK,AFR,NA19437,
ERR241877,299372200,TSI,EUR,NA20539,
ERR244984,299440000,CEU,EUR,NA12749,
ERR244709,299524800,TSI,EUR,NA20798,
ERR239760,299606800,LWK,AFR,NA19437,
ERR240792,299643800,TSI,EUR,NA20510,
ERR241837,299669400,TSI,EUR,NA20539,
ERR239652,299815400,LWK,AFR,NA19437,
ERR239757,299867600,LWK,AFR,NA19437,
ERR240074,299913000,JPT,EAS,NA18948,
ERR239658,299988000,LWK,AFR,NA19437,
ERR242685,299989600,TSI,EUR,NA20798,
ERR239655,299989800,LWK,AFR,NA19437,
ERR243656,300006200,CEU,EUR,NA07056,
ERR243796,300017400,CEU,EUR,NA12749,
ERR243857,300045000,CEU,EUR,NA10851,
ERR242077,300153600,TSI,EUR,NA20539,
ERR244921,300213200,CEU,EUR,NA12749,
ERR244963,300266000,CEU,EUR,NA12749,
ERR241997,300282800,TSI,EUR,NA20539,
ERR244669,300287000,TSI,EUR,NA20798,
ERR244971,300332400,CEU,EUR,NA11893,
ERR242242,300449600,TSI,EUR,NA20774,
ERR243740,300485400,CEU,EUR,NA07056,
ERR244589,300561200,TSI,EUR,NA20798,
ERR239673,300650200,LWK,AFR,NA19437,
ERR244549,300852800,TSI,EUR,NA20798,
ERR244900,300911200,CEU,EUR,NA12749,
ERR244908,300966800,CEU,EUR,NA11893,
ERR244950,300981200,CEU,EUR,NA11893,
ERR240045,301010400,JPT,EAS,NA18949,
ERR243783,301010600,CEU,EUR,NA11893,
ERR243550,301053000,CEU,EUR,NA12287,
ERR243677,301087200,CEU,EUR,NA07056,
ERR241797,301284800,TSI,EUR,NA20539,
ERR239670,301489000,LWK,AFR,NA19437,
ERR240120,301496600,JPT,EAS,NA18949,
ERR244879,301555400,CEU,EUR,NA12749,
ERR239664,301592800,LWK,AFR,NA19437,
ERR244887,301598800,CEU,EUR,NA11893,
ERR243861,301763800,CEU,EUR,NA12828,
ERR240786,301817800,TSI,EUR,NA20803,
ERR244866,301819200,CEU,EUR,NA11893,
ERR244509,301913000,TSI,EUR,NA20798,
ERR242799,301950600,TSI,EUR,NA20783,
ERR243761,301976600,CEU,EUR,NA07056,
ERR243635,302117600,CEU,EUR,NA07056,
ERR240135,302186800,JPT,EAS,NA18949,
ERR243817,302239000,CEU,EUR,NA12749,
ERR244942,302320800,CEU,EUR,NA12749,
ERR242557,302396600,TSI,EUR,NA20539,
ERR240446,302409600,CHB,EAS,NA18625,
ERR243863,302460600,CEU,EUR,NA11931,
ERR244629,302583800,TSI,EUR,NA20798,
ERR244840,302657600,CEU,EUR,NA12749,
ERR239661,302730600,LWK,AFR,NA19437,
ERR240090,302824000,JPT,EAS,NA18949,
ERR242724,302896600,TSI,EUR,NA20798,
ERR244429,302920000,TSI,EUR,NA20798,
ERR244858,302987200,CEU,EUR,NA12749,
ERR244929,303057600,CEU,EUR,NA11893,
ERR242230,303058800,TSI,EUR,NA20515,
ERR239766,303083200,JPT,EAS,NA18965,
ERR242805,303091200,TSI,EUR,NA20509,
ERR241177,303120600,TSI,EUR,NA20798,
ERR244827,303138800,CEU,EUR,NA11893,
ERR243838,303193800,CEU,EUR,NA12749,
ERR243138,303251800,CEU,EUR,NA12749,
ERR240060,303351600,JPT,EAS,NA18949,
ERR244469,303450200,TSI,EUR,NA20798,
ERR240105,303556600,JPT,EAS,NA18949,
ERR243804,303667200,CEU,EUR,NA11893,
ERR243880,303806200,CEU,EUR,NA12749,
ERR244848,303820200,CEU,EUR,NA11893,
ERR243159,303836800,CEU,EUR,NA12749,
ERR239779,303885800,JPT,EAS,NA18973,
ERR242762,303945000,TSI,EUR,NA20798,
ERR241217,304001200,TSI,EUR,NA20798,
ERR239667,304023000,LWK,AFR,NA19437,
ERR243180,304055400,CEU,EUR,NA12749,
ERR243125,304057400,CEU,EUR,NA11893,
ERR243825,304131600,CEU,EUR,NA11893,
ERR244197,304194600,LWK,AFR,NA19446,
ERR243922,304200200,CEU,EUR,NA12749,
ERR241257,304201200,TSI,EUR,NA20798,
ERR242597,304248000,TSI,EUR,NA20539,
ERR243285,304265000,CEU,EUR,NA12749,
ERR243939,304266600,CEU,EUR,NA12749,
ERR244780,304363000,TSI,EUR,NA20798,
ERR241457,304435200,TSI,EUR,NA20798,
ERR243146,304449400,CEU,EUR,NA11893,
ERR244785,304591800,TSI,EUR,NA20798,
ERR243901,304652400,CEU,EUR,NA12749,
ERR243167,304894000,CEU,EUR,NA11893,
ERR241417,304918400,TSI,EUR,NA20798,
ERR239747,305077000,LWK,AFR,NA19446,
ERR244188,305088800,LWK,AFR,NA19446,
ERR242800,305090400,TSI,EUR,NA20790,
ERR244801,305095800,TSI,EUR,NA20798,
ERR244782,305228800,TSI,EUR,NA20798,
ERR242241,305250800,TSI,EUR,NA20772,
ERR244194,305258000,LWK,AFR,NA19446,
ERR243272,305305000,CEU,EUR,NA11893,
ERR243930,305335200,CEU,EUR,NA11893,
ERR243867,305370400,CEU,EUR,NA11893,
ERR243201,305463800,CEU,EUR,NA12749,
ERR240030,305479000,JPT,EAS,NA18949,
ERR243909,305533800,CEU,EUR,NA11893,
ERR243888,305608800,CEU,EUR,NA11893,
ERR243264,305616400,CEU,EUR,NA12749,
ERR240303,305688200,JPT,EAS,NA18956,
ERR243222,305735800,CEU,EUR,NA12749,
ERR244185,305742200,LWK,AFR,NA19446,
ERR244741,305795800,TSI,EUR,NA20539,
ERR242477,305832600,TSI,EUR,NA20539,
ERR240068,305849400,JPT,EAS,NA18945,
ERR241337,305930400,TSI,EUR,NA20798,
ERR241297,306084600,TSI,EUR,NA20798,
ERR242517,306117200,TSI,EUR,NA20539,
ERR242817,306147400,TSI,EUR,NA20538,
ERR244182,306249200,LWK,AFR,NA19446,
ERR243209,306273600,CEU,EUR,NA11893,
ERR243251,306313600,CEU,EUR,NA11893,
ERR242804,306441200,TSI,EUR,NA20508,
ERR239750,306660600,LWK,AFR,NA19446,
ERR244191,307002400,LWK,AFR,NA19446,
ERR239703,307009800,LWK,AFR,NA19437,
ERR243188,307150800,CEU,EUR,NA11893,
ERR242437,307245200,TSI,EUR,NA20539,
ERR242637,307276800,TSI,EUR,NA20539,
ERR243243,307338400,CEU,EUR,NA12749,
ERR244176,307507400,LWK,AFR,NA19446,
ERR239718,307715400,LWK,AFR,NA19437,
ERR241377,307803800,TSI,EUR,NA20798,
ERR244179,307834800,LWK,AFR,NA19446,
ERR239753,307924200,LWK,AFR,NA19446,
ERR243230,308087600,CEU,EUR,NA11893,
ERR239654,308265000,LWK,AFR,NA19446,
ERR242791,308394800,TSI,EUR,NA20532,
ERR239657,308487800,LWK,AFR,NA19446,
ERR243549,308541200,CEU,EUR,NA12043,
ERR239759,308681000,LWK,AFR,NA19446,
ERR239765,308763000,LWK,AFR,NA19446,
ERR239675,308778000,LWK,AFR,NA19446,
ERR240778,308830400,TSI,EUR,NA20544,
ERR244200,309075400,LWK,AFR,NA19446,
ERR239721,309202000,LWK,AFR,NA19437,
ERR239660,309205200,LWK,AFR,NA19446,
ERR239712,309236800,LWK,AFR,NA19437,
ERR239762,309422000,LWK,AFR,NA19446,
ERR239650,309744000,LWK,AFR,NA19439,
ERR240367,309844200,CHB,EAS,NA18614,
ERR239715,309929600,LWK,AFR,NA19437,
ERR240000,309939000,JPT,EAS,NA18949,
ERR239706,309975600,LWK,AFR,NA19437,
ERR239970,310116000,JPT,EAS,NA18949,
ERR240800,310320800,TSI,EUR,NA20528,
ERR239940,310497400,JPT,EAS,NA18949,
ERR239666,310556800,LWK,AFR,NA19446,
ERR239672,310560000,LWK,AFR,NA19446,
ERR239776,310685800,JPT,EAS,NA18951,
ERR243502,310726800,CEU,EUR,NA12749,
ERR239663,310955800,LWK,AFR,NA19446,
ERR242236,310977400,TSI,EUR,NA20533,
ERR239955,311029800,JPT,EAS,NA18949,
ERR240015,311313800,JPT,EAS,NA18949,
ERR239925,311412600,JPT,EAS,NA18949,
ERR242165,311510200,TSI,EUR,NA20798,
ERR243607,311936400,CEU,EUR,NA12749,
ERR242789,311952400,TSI,EUR,NA20529,
ERR242365,311956200,TSI,EUR,NA20798,
ERR239700,312060000,LWK,AFR,NA19437,
ERR243862,312206400,CEU,EUR,NA11894,
ERR243542,312213200,CEU,EUR,NA10851,
ERR243489,312288200,CEU,EUR,NA11893,
ERR239985,312317000,JPT,EAS,NA18949,
ERR239669,312387200,LWK,AFR,NA19446,
ERR243594,312556800,CEU,EUR,NA11893,
ERR243628,312780000,CEU,EUR,NA12749,
ERR239767,312863400,JPT,EAS,NA18942,
ERR239910,312948000,JPT,EAS,NA18949,
ERR243108,313086200,CEU,EUR,NA12144,
ERR243565,313182600,CEU,EUR,NA12749,
ERR239774,313209000,JPT,EAS,NA18948,
ERR240297,313319200,JPT,EAS,NA18944,
ERR242405,313462600,TSI,EUR,NA20798,
ERR240782,313485600,TSI,EUR,NA20774,
ERR243546,313678600,CEU,EUR,NA12828,
ERR243523,313807000,CEU,EUR,NA12749,
ERR243586,313809800,CEU,EUR,NA12749,
